Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,0,0,0,0,0,0
2,85,10,19,12,10,0
3,202,5,22,19,11,0
4,319,10,18,25,6,0
5,411,6,18,26,8,0
6,514,6,17,17,10,0
7,622,6,21,25,15,0
8,745,8,19,5,9,0
9,855,7,18,16,14,0
10,931,6,18,27,10,0
11,1006,7,25,22,11,0
12,1095,10,22,17,11,0
13,1193,7,22,24,10,0
14,1271,5,23,24,15,0
15,1337,10,16,8,11,0
16,1426,5,22,23,10,0
17,1524,10,16,11,5,0
18,1641,9,25,9,7,0
19,1755,8,25,11,15,0
20,1816,8,15,18,10,0
21,1937,7,24,9,11,0
22,2057,8,15,12,14,0
23,2133,10,17,12,11,0
24,2230,7,23,28,10,0
25,2353,9,15,23,9,0
26,2424,5,21,21,13,0
27,2495,9,21,11,6,0
28,2619,6,22,21,14,0
29,2743,10,23,12,15,0
30,2817,9,22,20,8,0
31,2886,10,24,25,13,0
32,3014,10,17,28,7,0
33,3121,8,18,11,13,0
34,3248,9,15,15,11,0
35,3364,8,25,11,11,0
36,3469,9,21,20,13,0
37,3570,8,23,16,9,0
38,3694,7,15,16,13,0
39,3798,7,20,27,12,0
40,3884,6,21,8,14,0
41,3999,7,22,12,15,0
42,4121,10,22,20,6,0
43,4220,9,23,13,14,0
44,4302,9,24,26,14,0
45,4409,5,20,13,13,0
46,4475,10,24,26,14,0
47,4555,5,19,29,14,0
48,4638,5,19,15,10,0
49,4764,7,23,10,7,0
50,4860,6,18,6,13,0
51,4950,9,25,13,8,0
52,5069,9,19,5,15,0
