Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,5000,3000,1500,1000,1250,900
2,4956,2952,1489,989,1239,889
3,4911,2912,1483,983,1233,883
4,4851,2866,1471,971,1221,871
5,4795,2817,1460,960,1210,860
6,4744,2768,1454,954,1204,854
7,4691,2718,1434,934,1184,834
8,4646,2670,1421,921,1171,821
9,4582,2630,1404,904,1154,804
10,4526,2580,1387,887,1137,787
11,4461,2539,1379,879,1129,779
12,4406,2499,1371,871,1121,771
13,4347,2454,1364,864,1114,764
14,4295,2405,1346,846,1096,746
15,4250,2364,1328,828,1078,728
16,4208,2321,1310,810,1060,710
17,4165,2275,1300,800,1050,700
18,4109,2232,1285,785,1035,685
19,4061,2182,1274,774,1024,674
20,4012,2141,1268,768,1018,668
21,3962,2095,1258,758,1008,658
22,3899,2053,1240,740,990,640
23,3844,2013,1233,733,983,633
24,3794,1964,1222,722,972,622
25,3736,1915,1205,705,955,605
26,3692,1870,1191,691,941,591
27,3639,1825,1175,675,925,575
28,3575,1785,1157,657,907,557
29,3516,1745,1149,649,899,549
30,3464,1701,1132,632,882,532
31,3411,1654,1118,618,868,518
32,3335,1604,1107,607,857,507
33,3270,1559,1092,592,842,492
34,3206,1510,1074,574,824,474
35,3160,1462,1080,565,815,465
36,3106,1415,1084,554,804,454
37,3053,1375,1084,539,789,439
38,3008,1333,1092,532,782,432
39,2945,1289,1101,526,776,426
40,2900,1243,1103,513,763,413
41,2847,1193,1105,500,750,400
42,2784,1147,1115,495,745,395
43,2724,1097,1110,475,725,375
44,2686,1049,1108,458,708,358
45,2619,1002,1107,442,692,342
46,2568,952,1110,430,680,330
47,2509,911,1112,417,667,317
48,2435,865,1107,397,647,297
49,2383,825,1103,378,628,278
50,2339,785,1111,371,621,271
51,2298,743,1112,357,607,257
52,2239,701,1109,339,589,239
53,2172,658,1116,331,581,231
54,2118,611,1111,311,561,211
55,2068,571,1107,292,542,192
56,2005,523,1111,281,531,181
57,1940,479,1109,264,514,164
58,1893,431,1114,254,504,154
59,1838,388,1119,244,494,144
60,1771,344,1124,234,484,134
61,1711,299,1124,219,469,119
62,1664,250,1128,208,458,108
63,1613,209,1124,189,439,89
64,1549,169,1134,184,434,84
65,1498,127,1132,167,417,67
66,1432,77,1130,150,400,50
67,1369,34,1137,142,392,42
68,1330,-10,1147,137,387,37
