Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,4500,3000,1000,1000,1000,1000
2,4464,2948,986,986,986,986
3,4403,2903,969,969,969,969
4,4350,2850,950,950,950,950
5,4304,2804,934,934,934,934
6,4256,2756,927,927,927,927
7,4194,2711,907,907,907,907
8,4151,2659,901,901,901,901
9,4096,2610,883,883,883,883
10,4053,2560,873,873,873,873
11,3999,2510,868,868,868,868
12,3948,2460,849,849,849,849
13,3900,2414,833,833,833,833
14,3863,2367,823,823,823,823
15,3829,2319,810,810,810,810
16,3769,2266,793,793,793,793
17,3735,2221,781,781,781,781
18,3689,2174,761,761,761,761
19,3658,2121,751,751,751,751
20,3602,2076,735,735,735,735
21,3556,2021,717,717,717,717
22,3520,1970,712,712,712,712
23,3482,1919,699,699,699,699
24,3433,1874,682,682,682,682
25,3381,1824,674,674,674,674
26,3350,1776,655,655,655,655
27,3313,1728,642,642,642,642
28,3260,1681,623,623,623,623
29,3205,1635,606,606,606,606
30,3154,1587,586,586,586,586
31,3101,1537,579,579,579,579
32,3047,1488,573,573,573,573
33,3002,1442,568,568,568,568
34,2955,1394,562,562,562,562
35,2921,1346,556,556,556,556
36,2883,1300,551,551,551,551
37,2833,1249,538,538,538,538
38,2777,1194,525,525,525,525
39,2731,1139,511,511,511,511
40,2682,1091,491,491,491,491
41,2642,1038,486,486,486,486
42,2607,985,481,481,481,481
43,2549,934,467,467,467,467
44,2504,888,450,450,450,450
45,2439,834,441,441,441,441
46,2390,781,434,434,434,434
47,2343,736,416,416,416,416
48,2305,688,405,405,405,405
49,2264,643,395,395,395,395
50,2215,598,389,389,389,389
51,2173,544,372,372,372,372
52,2120,493,365,365,365,365
53,2068,438,357,357,357,357
54,2034,384,337,337,337,337
55,1978,339,317,317,317,317
56,1925,294,308,308,308,308
57,1868,241,300,300,300,300
58,1821,190,293,293,293,293
59,1771,137,278,278,278,278
60,1726,90,270,270,270,270
61,1685,42,250,250,250,250
62,1634,-11,236,236,236,236
